,MinMaxScaler(),RobustScaler(),StandardScaler()
MAE,3.1211143973507385,3.1053995538816137,3.113469707159606
MSE,18.486780490472054,18.106103245024663,18.468607105289642
RMSE,4.26401721884613,4.251252611635306,4.273294874939742
