,MinMaxScaler(),RobustScaler(),StandardScaler()
MAE,3.2308529519468694,3.293197931035185,3.553873471872348
MSE,18.174263737519386,18.786085145908825,21.14972812543486
RMSE,4.252213023220992,4.323594156895404,4.585627721568072
