,MinMaxScaler(),RobustScaler(),StandardScaler()
MAE,3.030199444636323,3.0276070872956073,3.022004614802292
MSE,16.956039290775152,16.860867483242306,16.839399419356276
RMSE,4.094967886762559,4.093753593550999,4.089235459921955
