,MinMaxScaler(),RobustScaler(),StandardScaler()
MAE,2382897932.824565,3.154196383485787,6099258876700.603
MSE,6.115032372667348e+21,16.950497048232016,4.01421948561448e+28
RMSE,31791823680.03797,4.112086950700702,64976210355295.75
