,MinMaxScaler(),RobustScaler(),StandardScaler()
MAE,121613632388.7563,3.469813269155319,1892438351285.802
MSE,3.863459185551787e+24,21.57069861940071,1.1822432432934107e+27
RMSE,1169064016307.3184,4.624475609724366,18415414388354.594
