,MinMaxScaler(),RobustScaler(),StandardScaler()
MAE,3.87035974038064,3.4076245120719904,3.2242680925415117
MSE,23.34352221222834,18.879470225811996,17.237561516328807
RMSE,4.818715345421264,4.335565855630507,4.146259812768987
