,MinMaxScaler(),RobustScaler(),StandardScaler()
MAE,4.088770833406468,3.51574722426984,3.3385893797964337
MSE,26.83002105270675,21.040442614582457,19.781245968855952
RMSE,5.160918239787048,4.57071773767496,4.434922579106024
