,MinMaxScaler(),RobustScaler(),StandardScaler()
MAE,27716961051.065105,255088844091.9091,3428405626234.0786
MSE,9.089420889168076e+23,2.8735893325188283e+25,7.769378057792073e+27
RMSE,319529825153.0501,2637265890222.192,38840153902453.99
