,MAE,MSE,RMSE
rf-baseline-no,0.24186625026952735,0.38074172026239383,0.2130703463856466
poi-baseline-no,0.17372601095355011,0.3390620821351855,0.18701911592903087
rf-baseline-wo,0.1798458550188855,0.28172770728695784,0.15249053532539136
poi-baseline-wo,0.11683926964991964,0.24600924999385898,0.13167359247449995
svr-baseline-no,0.04740873414695945,0.10916558795995002,0.056159752903040205
svr-baseline-wo,0.0,0.0,0.0
