,MAE,MSE,RMSE
rf-baseline-no,2.954400265366003,16.312539309474243,4.0388784717386885
poi-baseline-no,3.219938557506138,17.410466874759017,4.172585154884082
rf-baseline-wo,3.1960899042347948,18.920772467914976,4.3498014285614195
poi-baseline-wo,3.4416226649119923,19.86167024471069,4.456643383165259
svr-baseline-no,3.712189161374357,23.466414321974238,4.844214520639465
svr-baseline-wo,3.8969380619400398,26.342060886753483,5.132451742272253
