,MAE,MSE,RMSE
rf-baseline-no,-0.0,-0.0,-0.0
poi-baseline-no,-0.08987891561377137,-0.06730574219349794,-0.033104903769940464
rf-baseline-wo,-0.0818066670593296,-0.15989130257150608,-0.07698249873036711
poi-baseline-wo,-0.16491414696161022,-0.21757072077522177,-0.1034358707125762
svr-baseline-no,-0.2564949999808086,-0.4385506680952522,-0.19939595967939305
svr-baseline-wo,-0.3190284700496637,-0.6148350901722666,-0.2707616181535648
