,MAE,MSE,RMSE
rf-baseline-no,-0.0,-0.0,-0.0
rf-baseline-wo,-0.059152995166688926,-0.08012206254795617,-0.039289210252832385
poi-baseline-no,-0.6122268822150592,-0.9198253409825305,-0.38557761997750584
poi-baseline-wo,-0.6090384234457189,-0.9406344100817794,-0.3930665490498928
svr-baseline-wo,-0.8471492320094405,-1.5889976872981877,-0.6090362604050243
svr-baseline-no,-0.8922426376710397,-1.7116893054072384,-0.6467207733575346
