,MAE,MSE,RMSE
rf-baseline-no,2.8176412961597546,16.563417813527806,4.069817909136454
rf-baseline-wo,2.984313218132956,17.890513011591214,4.229717840659259
poi-baseline-no,4.542677042108039,31.798869251692143,5.6390486122831165
poi-baseline-wo,4.533693109008444,32.14353855749357,5.66952718994217
svr-baseline-wo,5.204603956279575,42.88265041297709,6.548484589046315
svr-baseline-no,5.331660998256181,44.9148429459351,6.701853694757526
