,MAE,MSE,RMSE
rf-baseline-no,0.47152654734025357,0.631226188779831,0.3927325043935176
rf-baseline-wo,0.4402657597493481,0.6016792704112005,0.36887344407892353
poi-baseline-no,0.14798089308494933,0.2920186921288118,0.15858374874786962
poi-baseline-wo,0.14966590889944575,0.284344852409138,0.15403596554530663
svr-baseline-wo,0.02383066778217191,0.04524545561484428,0.02288457980382097
svr-baseline-no,0.0,0.0,0.0
