,ElNetRegRob
Fit Time,0.08555667400360108
Score Time,0.0026680946350097655
MAE,4.434103691602497
MSE,30.308370640553335
RMSE,5.4973692858579515
STD FT,0.04762923022998923
STD ST,0.001178456438189325
STD MAE,0.27051647023029207
STD MSE,3.459489773554687
STD RMSE,0.31145104030966586
