,ElNetReg
Fit Time,0.03199992179870605
Score Time,0.0037073850631713866
MAE,4.428113352553229
MSE,30.199629085123245
RMSE,5.487226137797882
STD FT,0.018952579266041256
STD ST,0.001943051384887084
STD MAE,0.27524381485826294
STD MSE,3.4958836236981052
STD RMSE,0.31618981252649675
