,RandFoNFE
Fit Time,2.486936902999878
Score Time,0.01642162799835205
MAE,2.805150373772857
MSE,15.399298289463484
RMSE,3.905510315939251
STD FT,0.24133820766357766
STD ST,0.0029986769940274056
STD MAE,0.26743232353986907
STD MSE,3.374315986978354
STD RMSE,0.40316451226594713
