,ela-net-rb-wo
Fit Time,0.03878633975982666
Score Time,0.004103612899780273
MAE,4.535396124736167
MSE,31.515908993014012
RMSE,5.598256778812773
STD FT,0.02301600606455411
STD ST,0.0025317012140687566
STD MAE,0.3423164938708466
STD MSE,5.020956813283278
STD RMSE,0.44150000816767
