,ela-net-rb-no
Fit Time,0.36700685024261476
Score Time,0.0071561336517333984
MAE,4.434103691602497
MSE,30.308370640553335
RMSE,5.4973692858579515
STD FT,0.2923089390229645
STD ST,0.009701757696365563
STD MAE,0.27051647023029207
STD MSE,3.459489773554687
STD RMSE,0.31145104030966586
