,RandFo
Fit Time,2.260491895675659
Score Time,0.017983603477478027
MAE,2.7384332025039675
MSE,14.934739830727986
RMSE,3.8501529839875794
STD FT,0.13570773824572205
STD ST,0.0027317316525044826
STD MAE,0.19278910936321883
STD MSE,2.755628211946559
STD RMSE,0.3512862565226427
