,SVRNFE
Fit Time,0.5076572895050049
Score Time,0.03677835464477539
MAE,4.585724544407607
MSE,32.6200760126475
RMSE,5.69840196537086
STD FT,0.28489999414414613
STD ST,0.01847773793099771
STD MAE,0.33633236346316064
STD MSE,4.6867664946993965
STD RMSE,0.4059160472930653
