,poi-no
Fit Time,0.03277723789215088
Score Time,0.002231264114379883
MAE,4.580341885863901
MSE,32.189225240306364
RMSE,5.665851148529398
STD FT,0.010707202987148083
STD ST,0.0017125546964386908
STD MAE,0.26850779737659947
STD MSE,3.5617277407351295
STD RMSE,0.3115481111668267
