,svr-no
Fit Time,0.36115736961364747
Score Time,0.02971649169921875
MAE,4.4175632072110185
MSE,30.998528515562935
RMSE,5.559533759032574
STD FT,0.07981536763939086
STD ST,0.009091492083894887
STD MAE,0.26975166516920396
STD MSE,3.558477534137516
STD RMSE,0.3164260449669356
