,ElNetRegRobNFE
Fit Time,0.03179056644439697
Score Time,0.003066611289978027
MAE,4.535396124736167
MSE,31.515908993014012
RMSE,5.598256778812773
STD FT,0.00887429601462504
STD ST,0.0019367183546240207
STD MAE,0.3423164938708466
STD MSE,5.020956813283278
STD RMSE,0.44150000816767
