,svr-wo
Fit Time,0.3622168779373169
Score Time,0.019271540641784667
MAE,4.519261271688357
MSE,31.96463127765758
RMSE,5.641023023827285
STD FT,0.08430458416796348
STD ST,0.0027716764868463747
STD MAE,0.331438195480364
STD MSE,4.542445800119366
STD RMSE,0.399291765098688
