,PoiRegNFE
Fit Time,0.07042694091796875
Score Time,0.0037627458572387696
MAE,4.5775925211000175
MSE,32.060897828512374
RMSE,5.649585810119342
STD FT,0.020936880193221503
STD ST,0.001520293606891669
STD MAE,0.33175084379503117
STD MSE,4.593593426024722
STD RMSE,0.3987173917151933
