,ela-net-st-no
Fit Time,0.07884833812713624
Score Time,0.008208703994750977
MAE,4.428113352553229
MSE,30.199629085123245
RMSE,5.487226137797882
STD FT,0.05487275136878328
STD ST,0.005866378491705732
STD MAE,0.27524381485826294
STD MSE,3.4958836236981052
STD RMSE,0.31618981252649675
