lon,lat,region
7.4143063,51.49059236,campus
7.41583512,51.4907167,campus
7.41713752,51.49063376,campus
7.41622166,51.49253066,campus
7.41583636,51.49348443,campus
7.41550146,51.49443217,campus
7.41545185,51.49454059,campus
7.41361725,51.4943099,campus
7.41188378,51.49405633,campus
7.4099516,51.49379007,campus
7.40797849,51.49351891,campus
7.40550206,51.49320896,campus
7.40209701,51.49300893,campus
7.40209701,51.49300893,campus
7.40174503,51.49258281,campus
7.40175529,51.49150021,campus
7.4017815,51.49036304,campus
7.40177736,51.48962588,campus
7.40263088,51.48941128,campus
7.40422921,51.48941917,campus
7.40585424,51.48944706,campus
7.40721569,51.48964717,campus
7.40931463,51.48991829,campus
7.41110316,51.49014137,campus
7.41406254,51.49055628,campus
7.41633238,51.49067793,campus
7.41680459,51.49059118,campus
7.41681556,51.49058851,campus
7.41681556,51.49058851,campus
7.41723562,51.49061454,campus
7.4169317999999995,51.49157245,campus
7.41641587,51.49225118,campus
7.4159156,51.49359578,campus
7.41556766,51.49431236,campus
7.41555061,51.49435323,campus
7.41555061,51.49435323,campus
7.41531407,51.49453103,campus
7.41406908,51.49436613,campus
7.41226392,51.49412674,campus
7.41054261,51.49390569,campus
7.40862976,51.49365678,campus
7.40660543,51.4933896,campus
7.4039068,51.49303163,campus
7.40250197,51.49299606,campus
7.40208124,51.49300662,campus
7.40173217,51.49144343,campus
7.401714999999999,51.49053257,campus
7.40175232,51.48964166,campus
7.40175153,51.48961465,campus
7.40176435,51.48944352,campus
7.40210381,51.48938647,campus
7.40371804,51.48938555,campus
7.40569823,51.48941284,campus
7.4074869,51.48965371,campus
7.40934752,51.48989322,campus
7.41129903,51.49016571,campus
7.41590327,51.49068028,campus
7.41694394,51.49056582,campus
7.41694394,51.49056582,campus
7.41694394,51.49056582,campus
7.41707111,51.4910589,campus
7.41665561,51.49199547,campus
7.41588389,51.49332083,campus
7.4155872,51.49421002,campus
7.41258216,51.49417248,campus
7.40842102,51.49362302,campus
7.40659224,51.49338142,campus
7.40479511,51.49314361,campus
7.40208758,51.49299869,campus
7.40208758,51.49299869,campus
7.40175827,51.49275615,campus
7.401757099999999,51.4916205,campus
7.40173911,51.48958427,campus
7.40173911,51.48958427,campus
7.40533538,51.48939761,campus
7.40701462,51.48958604,campus
7.40888127,51.48982098,campus
7.41072099,51.49007867,campus
7.41432337,51.49056755,campus
7.41501684,51.49063916,campus
7.41555381,51.49067236,campus
7.41685629,51.49057961,campus
7.416875500000001,51.49057321,campus
7.41715197,51.49056677,campus
7.41703039,51.49124164,campus
7.41596771,51.49319486,campus
7.41554712,51.49432919,campus
7.41428503,51.49444923,campus
7.41240023,51.49416214,campus
7.41063076,51.49390355,campus
7.40867194,51.49361955,campus
7.4067212,51.49335391,campus
7.40464209,51.49310127,campus
7.40298183,51.49297724,campus
7.40208197,51.49298215,campus
7.40208197,51.49298215,campus
7.40174138,51.49177991,campus
7.40171275,51.49042385,campus
7.40170239,51.48975392,campus
7.40192384,51.48938306,campus
7.40342733,51.48937599,campus
7.40550332,51.48938199,campus
7.40682755,51.48955986,campus
7.40807941,51.4897339,campus
7.41330451,51.49045105,campus
