,svr-no
Fit Time,0.18310678005218506
Score Time,0.012943553924560546
MAE,3.1400860699482935
MSE,17.13442182322432
RMSE,4.132400476249831
STD FT,0.020147752290638286
STD ST,0.0019796810324610773
STD MAE,0.1880951613962171
STD MSE,2.1224212532211033
STD RMSE,0.25317566829396443
