,ela-net-rb-no
Fit Time,0.08244376182556153
Score Time,0.0022287845611572267
MAE,3.145176704384212
MSE,16.938410161668735
RMSE,4.110629101125366
STD FT,0.02174398667899289
STD ST,0.0007973833233524295
STD MAE,0.17250859776258776
STD MSE,1.78061118041506
STD RMSE,0.21379781375557988
