,RF
Fit Time,1.9158158779144288
Score Time,0.058824920654296876
MAE,3.0537210882845867
MSE,17.03872076195075
RMSE,4.110532707151641
STD FT,0.3250332102576421
STD ST,0.1244656590991215
STD MAE,0.29784493310128907
STD MSE,3.2553356004617795
STD RMSE,0.3975503118227791
