,rf-no
Fit Time,2.9262392282485963
Score Time,0.03216185569763184
MAE,3.041340823181806
MSE,16.926431740192523
RMSE,4.103428674238993
STD FT,0.5589591280585253
STD ST,0.03332070105720174
STD MAE,0.2351190246497812
STD MSE,2.5965947209701956
STD RMSE,0.3132355443605136
