,poi-no
Fit Time,0.019777131080627442
Score Time,0.00150754451751709
MAE,3.2242680925415117
MSE,17.237561516328807
RMSE,4.146259812768987
STD FT,0.009394227220170186
STD ST,5.0618965150540843e-05
STD MAE,0.16889891480862698
STD MSE,1.9014840608415229
STD RMSE,0.22630137561740665
