,SVRNFE
Fit Time,0.8241645574569703
Score Time,0.0555309534072876
MAE,3.3048582625685285
MSE,20.125724840178133
RMSE,4.472616022894309
STD FT,0.22244222725838067
STD ST,0.028866650185225492
STD MAE,0.14018615396682513
STD MSE,3.397791205265395
STD RMSE,0.36731874128191355
