,RandFoNFE
Fit Time,4.569862413406372
Score Time,0.0339036226272583
MAE,3.0438505553435453
MSE,17.793381490462345
RMSE,4.203299396780638
STD FT,2.23455269821484
STD ST,0.02167756385640348
STD MAE,0.15982688818590546
STD MSE,3.1570187688815254
STD RMSE,0.3736541352133877
