,SVR
Fit Time,0.21982090473175048
Score Time,0.022959518432617187
MAE,3.1400860699482935
MSE,17.13442182322432
RMSE,4.132400476249831
STD FT,0.0363612263632077
STD ST,0.022897284019199465
STD MAE,0.1880951613962171
STD MSE,2.1224212532211033
STD RMSE,0.25317566829396443
