,PoiReg
Fit Time,0.019299578666687012
Score Time,0.0015873908996582031
MAE,3.2242680925415117
MSE,17.237561516328807
RMSE,4.146259812768987
STD FT,0.011449635226607972
STD ST,0.00042515539235922
STD MAE,0.16889891480862698
STD MSE,1.9014840608415229
STD RMSE,0.22630137561740665
