,PoiRegNFE
Fit Time,0.023166775703430176
Score Time,0.001773667335510254
MAE,3.2945987246632122
MSE,18.886119010414248
RMSE,4.34152716143374
STD FT,0.01215008648523174
STD ST,0.0003715269075824129
STD MAE,0.10830268128758354
STD MSE,1.7576108067097491
STD RMSE,0.2034724031174251
