,ela-net-rb-wo
Fit Time,0.025620293617248536
Score Time,0.001866602897644043
MAE,3.3220397306544998
MSE,19.851026996063847
RMSE,4.446211737022525
STD FT,0.009679392306255467
STD ST,0.00033748704436801136
STD MAE,0.1198132353039654
STD MSE,2.735366697795633
STD RMSE,0.3022658609513608
