,ela-net-st-wo
Fit Time,0.006637024879455567
Score Time,0.0021672487258911134
MAE,3.3166642526179286
MSE,19.45587251507115
RMSE,4.405823472594489
STD FT,0.0016020969368232354
STD ST,0.000893148735247122
STD MAE,0.10733637470433027
STD MSE,1.9496672123863745
STD RMSE,0.22259091377728807
