,MinMaxScaler(),RobustScaler(),StandardScaler()
MAE,182204503244.39874,4.510044441996579,2172924012684.5044
MSE,1.3881177353859222e+25,31.437675360635986,1.8878422562052194e+27
RMSE,2209903441000.9717,5.58809212094554,25988658492947.1
