,MinMaxScaler(),RobustScaler(),StandardScaler()
MAE,188724616219.76126,31106823615.178905,6602992339884.616
MSE,6.30420559551534e+25,1.158158021664093e+24,4.981415331230101e+28
RMSE,2510817714518.5957,414776084277.94104,86895178456021.22
