,MinMaxScaler(),RobustScaler(),StandardScaler()
MAE,68267024399.47445,2639424476.2548904,1344138817424.5796
MSE,3.4875029464035324e+24,9.195861235712157e+21,1.6376161671639434e+27
RMSE,784328396664.0455,30324678462.83103,15442979284631.12
