,MinMaxScaler(),RobustScaler(),StandardScaler()
MAE,4.753168862987718,5.268479149723544,4.921331209245089
MSE,34.596760859673836,42.871546034240666,38.551970561279596
RMSE,5.873964141397042,6.540923042640307,6.193865869032647
