,MinMaxScaler(),RobustScaler(),StandardScaler()
MAE,4.6985416910413775,4.705975829664826,4.885691757452107
MSE,34.01971637013958,35.23831495143896,38.76986665789241
RMSE,5.823229099023499,5.925674325291796,6.21558763368942
