,MinMaxScaler(),RobustScaler(),StandardScaler()
MAE,341022294441.75977,4.540092993778088,1184985079728.8647
MSE,3.6974609734223994e+25,31.88821946541343,5.38962975627709e+26
RMSE,3450509791801.1196,5.630538533339379,14158181452169.094
