lon,lat,region
7.4139657,51.49055343,campus
7.41600202,51.49071491,campus
7.41717576,51.49066763,campus
7.41680351,51.4918387,campus
7.41622166,51.49253066,campus
7.4157706999999995,51.49371518,campus
7.41552672,51.4943804,campus
7.41550146,51.49443217,campus
7.41550146,51.49443217,campus
7.41548456,51.49444349,campus
7.41544831,51.49454494,campus
7.41501793,51.49451863,campus
7.41329291,51.49425293,campus
7.41150366,51.49400541,campus
7.40975634,51.49376245,campus
7.40757866,51.4934652,campus
7.40590101,51.49325833,campus
7.40310166,51.49298137,campus
7.40226175,51.49299979,campus
7.40209701,51.49300893,campus
7.40209701,51.49300893,campus
7.40200007,51.49300998,campus
7.40175115,51.49226098,campus
7.401755900000001,51.49139091,campus
7.40178002,51.49046045,campus
7.40177736,51.48962588,campus
7.40234932,51.48939958,campus
7.40405264,51.48941651,campus
7.40585424,51.48944706,campus
7.40794722,51.48977473,campus
7.40918267,51.4898971,campus
7.41128259,51.49017144,campus
7.41443121,51.49060324,campus
7.41633238,51.49067793,campus
7.41681556,51.49058851,campus
7.41681556,51.49058851,campus
7.41681556,51.49058851,campus
7.41722512,51.49072684,campus
7.41684288,51.49174002,campus
7.41632293,51.49235502,campus
7.41582499,51.49379666,campus
7.41556766,51.49431236,campus
7.41555061,51.49435323,campus
7.41555061,51.49435323,campus
7.41519561,51.49451494,campus
7.41389995,51.49434454,campus
7.410737700000001,51.493930299999995,campus
7.40660543,51.4933896,campus
7.40450542,51.49310395,campus
7.40263926,51.49299394,campus
7.40208124,51.49300662,campus
7.401746000000001,51.49263095,campus
7.4017233,51.49121643,campus
7.401714999999999,51.49053257,campus
7.40175153,51.48961465,campus
7.40175153,51.48961465,campus
7.40175544,51.48947148,campus
7.40406587,51.48938894,campus
7.40768119,51.48968193,campus
7.40972081,51.48994461,campus
7.41113607,51.49013901,campus
7.41421834,51.49054475,campus
7.4160627,51.49067765,campus
7.41694394,51.49056582,campus
7.41694394,51.49056582,campus
7.41694394,51.49056582,campus
7.41694394,51.49056582,campus
7.41700754,51.49124584,campus
7.4164924,51.49217868,campus
7.415924,51.49320884,campus
7.41555746,51.49428491,campus
7.41434896,51.49441215,campus
7.41258216,51.49417248,campus
7.41077618,51.49392093,campus
7.40842102,51.49362302,campus
7.40659224,51.49338142,campus
7.40459725,51.49311906,campus
7.40242109,51.49298449,campus
7.40208758,51.49299869,campus
7.40208758,51.49299869,campus
7.40208758,51.49299869,campus
7.401757099999999,51.4916205,campus
7.40172014,51.49020806,campus
7.40173911,51.48958427,campus
7.40221683,51.48940733,campus
7.403744099999999,51.4894016,campus
7.40494851,51.48940255,campus
7.40758291,51.48967141,campus
7.40888127,51.48982098,campus
7.4110769,51.49013381,campus
7.41449827,51.49058355,campus
7.41516749,51.49065835,campus
7.41555381,51.49067236,campus
7.41685629,51.49057961,campus
7.416875500000001,51.49057321,campus
7.41722822,51.49063021,campus
7.41706097,51.49115038,campus
7.41654448,51.49213173,campus
7.41592441,51.49331309,campus
7.41543702,51.494520200000004,campus
7.41428503,51.49444923,campus
7.41221356,51.4941354,campus
7.41024551,51.49384542,campus
7.40829835,51.49357057,campus
7.40632944,51.49330455,campus
7.40481128,51.4931195,campus
7.40240921,51.49297461,campus
7.40208197,51.49298215,campus
7.40208197,51.49298215,campus
7.40208197,51.49298215,campus
7.40184821,51.49293373,campus
7.40173459,51.49152289,campus
7.40171472,51.49054659,campus
7.40170239,51.48975392,campus
7.40181137,51.48939193,campus
7.40342733,51.48937599,campus
7.40550332,51.48938199,campus
7.40660039,51.48952569,campus
7.40820635,51.48974474,campus
7.41556946,51.49069087,campus
7.41666161,51.49062862,campus
7.41677384,51.49059966,campus
7.41705928,51.49124314,campus
7.41656521,51.49209879,campus
7.41609251,51.49290474,campus
7.41566865,51.49405281,campus
7.4145223,51.4944169,campus
7.41301495,51.49422852,campus
7.41112287,51.4939705,campus
7.40889521,51.49367133,campus
7.40724588,51.49345935,campus
7.40519636,51.49318293,campus
7.40329797,51.49296969,campus
7.40206561,51.49297824,campus
7.40180218,51.49291965,campus
7.40171595,51.49178738,campus
7.40169186,51.49032138,campus
7.40182608,51.4894045,campus
7.4027745,51.48938406,campus
7.40388932,51.48938743,campus
7.40562122,51.48939785,campus
7.40675397,51.48955777,campus
7.40841679,51.48976385,campus
7.40996844,51.48997185,campus
7.41542603,51.49067468,campus
7.41687755,51.49058926,campus
7.41688524,51.49058787,campus
7.41688524,51.49058787,campus
7.41705332,51.49055603,campus
7.41706395,51.49119655,campus
7.41669336,51.49194897,campus
7.41614829,51.49261112,campus
7.41590443,51.49339372,campus
7.41530519,51.49452575,campus
7.414764,51.49449335,campus
7.41252433,51.49417726,campus
7.411189,51.49399874,campus
7.40847012,51.49362917,campus
7.40501033,51.49316532,campus
7.40179658,51.49290518,campus
7.40176519,51.49188878,campus
7.40171514,51.489726399999995,campus
7.40171646,51.48964458,campus
7.40171646,51.48964458,campus
7.40171646,51.48964458,campus
7.40171646,51.48964458,campus
7.40169989,51.48951499,campus
7.40205532,51.48938809,campus
7.40364276,51.48937454,campus
7.40575562,51.48940637,campus
7.40750962,51.48966168,campus
7.41005976,51.4899838,campus
7.41466391,51.49061776,campus
7.41647195,51.49066311,campus
7.41696354,51.49058965,campus
7.41696354,51.49058965,campus
7.41696354,51.49058965,campus
7.41696354,51.49058965,campus
7.41696354,51.49058965,campus
7.41714883,51.49094028,campus
7.41675581,51.49187723,campus
7.416072099999999,51.49289295,campus
7.41514785,51.49455705,campus
7.41359867,51.49430705,campus
7.41353901,51.49429517,campus
7.41292969,51.49421515,campus
7.41111893,51.4939836,campus
7.4100133,51.49383383,campus
7.40789784,51.49352839,campus
7.40634734,51.4933413,campus
7.40369087,51.49300559,campus
7.40232767,51.49299442,campus
7.40212139,51.49299711,campus
7.40170661,51.49260767,campus
7.40174857,51.49170707,campus
7.40175474,51.49091079,campus
7.4017811,51.48976258,campus
7.40178331,51.48960049,campus
7.40178949,51.48946411,campus
7.40273172,51.48934929,campus
7.40694402,51.48955723,campus
7.40859804,51.48982825,campus
7.41386154,51.4905011,campus
7.41585869,51.490691299999995,campus
7.41637719,51.49064353,campus
7.41637719,51.49064353,campus
7.41722463,51.49065819,campus
7.41685791,51.49171987,campus
7.41651792,51.49216624,campus
7.41607881,51.49312354,campus
7.41570767,51.49394908,campus
7.4155241,51.494363,campus
7.4155241,51.494363,campus
7.4155241,51.494363,campus
7.41532133,51.49455379,campus
7.41399368,51.49434362,campus
7.41211765,51.49410774,campus
7.41007488,51.49384237,campus
7.40774427,51.4935343,campus
7.40586387,51.49328663,campus
7.40362739,51.49301177,campus
7.40249723,51.49301069,campus
7.40178023,51.492915,campus
7.40177444,51.49242983,campus
7.40176488,51.49166235,campus
7.40174091,51.49038379,campus
7.40175672,51.48957273,campus
7.40255567,51.48937421,campus
7.40625731,51.48947228,campus
7.40802159,51.48973519,campus
7.41027678,51.49002641,campus
7.41322885,51.490456099999996,campus
7.41549507,51.49069494,campus
7.41689262,51.49059312,campus
7.41689773,51.49164228,campus
7.41644762,51.492235799999996,campus
7.41602215,51.4931803,campus
7.41555688,51.494332799999995,campus
7.41381814,51.49431184,campus
7.41212052,51.49408957,campus
7.41079288,51.49391457,campus
7.40886716,51.49367038,campus
7.40701479,51.49341952,campus
7.40519697,51.49319045,campus
7.40280907,51.49298416,campus
7.40208135,51.49299009,campus
7.40208135,51.49299009,campus
7.40208135,51.49299009,campus
7.40173642,51.4913942,campus
7.40170976,51.49024267,campus
7.40171601,51.48961979,campus
7.40171601,51.48961979,campus
7.40196995,51.48940778,campus
7.40391277,51.48939081,campus
7.40576422,51.48941513,campus
7.40747075,51.48965735,campus
7.40927815,51.48990431,campus
7.4109765,51.49012501,campus
7.41360511,51.4904753,campus
7.41585819,51.49069606,campus
7.41662678,51.49063427,campus
7.41662678,51.49063427,campus
7.41679556,51.49180015,campus
7.41599538,51.49299378,campus
7.4157078,51.4938614,campus
7.41485101,51.49448375,campus
7.41339539,51.49427506,campus
7.41337639,51.49427065,campus
7.41146212,51.49399892,campus
7.40936547,51.49373139,campus
7.40704934,51.49342354,campus
7.40496778,51.49315301,campus
7.40288172,51.49296529,campus
7.40177575,51.49281387,campus
7.40178246,51.49176602,campus
7.40171534,51.49047809,campus
7.40174462,51.48954935,campus
7.40204781,51.48936698,campus
7.40388335,51.48936455,campus
7.40826791,51.48975614,campus
7.48799197,51.44777378,highway
7.48799929,51.44685367,highway
7.49162522,51.44463335,highway
7.49162522,51.44463335,highway
7.49162522,51.44463335,highway
7.49175166,51.444552200000004,highway
7.49104259,51.44385425,highway
7.48989352,51.44286449,highway
7.48618605,51.4406692,highway
7.48510529,51.44015776,highway
7.48285307,51.4391672,highway
7.48120847,51.43861217,highway
7.47879601,51.43778227,highway
7.47665057,51.43714208,highway
7.47636688,51.43761192,highway
7.47808195,51.43843122,highway
7.48116296,51.43976899,highway
7.48358725,51.44131382,highway
7.48521907,51.44323354,highway
7.48652414,51.44470666,highway
7.48751771,51.44420429,highway
7.48479918,51.44371227,highway
7.48201936,51.44365709,highway
7.47879919,51.4434732,highway
7.47595449,51.44323211,highway
7.46964648,51.44241488,highway
7.46741994,51.44213078,highway
7.45007452,51.44187482,highway
7.44695649,51.44219604,highway
7.44304958,51.44278584,highway
7.43958078,51.44344997,highway
7.43257111,51.44535955,highway
7.42938331,51.44686892,highway
7.42678291,51.44867012,highway
7.42362362,51.45285978,highway
7.41906019,51.45994622,highway
7.41782948,51.46103008,highway
7.41535018,51.46280263,highway
7.4116365,51.46486166,highway
7.40249417,51.46965773,highway
7.39867087,51.47218766,highway
7.39580169,51.47442177,highway
7.39430455,51.47590276,highway
7.39323472,51.47730999,highway
7.39369309,51.47900497,highway
7.39342077,51.48002063,highway
7.39444994,51.48065924,highway
7.39677893,51.48151129,highway
7.39803188,51.48206046,highway
7.40076708,51.48431713,highway
7.40191627,51.48510005,highway
7.402721700000001,51.48577965,highway
7.40191188,51.48664796,highway
7.40174514,51.48917518,highway
7.40174708,51.48926284,highway
7.40174708,51.48926284,highway
7.40237885,51.48948306,highway
7.40390059,51.489441799999994,highway
7.4078864,51.48973426,highway
7.40979639,51.48999146,highway
7.41164544,51.49023733,highway
7.48835099,51.44887686,highway
7.48787841,51.44763153,highway
7.49127143,51.44477427,highway
7.49171214,51.44444084,highway
7.49101696,51.44382713,highway
7.49078054,51.44362841,highway
7.49005072,51.44303058,highway
7.48803517,51.44155358,highway
7.48735583,51.44123987,highway
7.48562954,51.44043958,highway
7.48162472,51.43879045,highway
7.47670307,51.43774905,highway
7.47720488,51.43797942,highway
7.47740318,51.43806729,highway
7.47891714,51.43870175,highway
7.48096851,51.43957415,highway
7.48299216,51.44081985,highway
7.48399924,51.44172198,highway
7.48579777,51.44414897,highway
7.48744447,51.44443033,highway
7.48644523,51.44378153,highway
7.47814617,51.44341335,highway
7.47106121,51.44263871,highway
7.46898667,51.44237437,highway
7.46601023,51.44201298,highway
7.45886563,51.44158255,highway
7.45728166,51.44154722,highway
7.45346424,51.44162344,highway
7.44510536,51.44244374,highway
7.44476832,51.44249513,highway
7.44113016,51.44311244,highway
7.43731435,51.44395134,highway
7.43345242,51.44504044,highway
7.42523798,51.45022559,highway
7.42067062,51.45815429,highway
7.42002598,51.45892022,highway
7.41927526,51.45970694,highway
7.41900609,51.4599699,highway
7.4178215,51.46102158,highway
7.41445558,51.46334417,highway
7.40994682,51.46566691,highway
7.40690954,51.46717097,highway
7.40272407,51.469553600000005,highway
7.39996306,51.47130711,highway
7.396882300000001,51.47353606,highway
7.39502942,51.47513011,highway
7.39303459,51.47769103,highway
7.39346224,51.4787831,highway
7.39344075,51.48004964,highway
7.39442129,51.48060958,highway
7.39673701,51.48148383,highway
7.39840608,51.48227076,highway
7.39848518,51.4823345,highway
7.39848518,51.4823345,highway
7.39848518,51.4823345,highway
7.39879978,51.48257782,highway
7.40031083,51.4839559,highway
7.40114067,51.48458271,highway
7.40272269,51.48571386,highway
7.40194314,51.48650379,highway
7.40164929,51.48742808,highway
7.40170873,51.48823537,highway
7.40174632,51.48908471,highway
7.40217307,51.48940199,highway
7.40399407,51.48941532,highway
7.40556087,51.48942454,highway
7.40725467,51.48964596,highway
7.40943804,51.48993333,highway
7.48836786,51.44877911,highway
7.48802246,51.44678609,highway
7.48907657,51.44574508,highway
7.490157400000001,51.44524157,highway
7.49136978,51.44472326,highway
7.49088863,51.44370463,highway
7.48986102,51.44284885,highway
7.48891201,51.44204695,highway
7.48541959,51.4403078,highway
7.48354948,51.439423,highway
7.48164504,51.43873043,highway
7.47973041,51.43808311,highway
7.47761272,51.43739232,highway
7.47623084,51.437555100000004,highway
7.47734585,51.43812995,highway
7.48043995,51.43939534,highway
7.48243435,51.44047177,highway
7.48452585,51.44231419,highway
7.48575433,51.44405911,highway
7.48725676,51.44458802,highway
7.4868455,51.44379488,highway
7.48102956,51.44361995,highway
7.47634007,51.44326088,highway
7.47419844,51.44301439,highway
