distance,lat,lon,alt,speed,acc,dir,rsrp,rsrq,sinr,cqi,ta,payload,rtt,hour,throughput,ci_26378497,ci_26378498,ci_26378754,ci_26378755,ci_26379013,ci_26385408,ci_26385409,ci_26385410,ci_26796290,ci_26796291,ci_27029251,ci_27256324,ci_27256325,ci_27299331,ci_27299332,ci_27770883,ci_27770885,ci_27770886,ci_27770888,ci_27770889,ci_27771139,ci_27771140,ci_27771904,ci_27771905,ci_27771906,ci_27771907,ci_27771908,ci_27771909,ci_28365056,ci_28365057,ci_28365058,ci_28365063,ci_28367105,ci_28367106,ci_28368384,ci_28368386,ci_28368642,ci_28368651,ci_28371200,ci_28371201,ci_28371202,ci_29391104,ci_29391105,ci_29391106,ci_29398276,ci_29401601,ci_29563904,ci_29568768,ci_29568769,ci_29568770,ci_29908736,ci_29913344,ci_29913345,ci_29913346,ci_30422273,ci_30492930,ci_31263232,ci_31281409,ci_33519104,ci_33527552,ci_33527554,ci_33527559,ci_33527561,ci_33837570,region_highway,region_suburban,region_urban,weekday_Monday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday
1011.85,51.49400541,7.41150366,167.8,13.63,0.6,257.97,-78,-6,15,15,4,7.0,40,10,23.430999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1135.19,51.49376245,7.40975634,171.04,14.05,0.2,257.63,-84,-7,13,14,4,1.0,92,10,5.75954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1297.88,51.4934652,7.40757866,175.9,13.79,0.0,258.39,-85,-7,11,6,3,8.0,47,10,20.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1407.11,51.49325833,7.40590101,173.01,13.63,0.52,258.05,-87,-7,11,9,3,2.0,54,10,13.4116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1611.89,51.49298137,7.40310166,168.76,13.13,-0.11,265.42,-91,-7,9,7,3,8.0,56,10,11.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1675.49,51.49299979,7.40226175,164.62,6.64,0.0,271.15,-98,-7,5,6,7,3.0,40,10,11.7417,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1690.01,51.49300893,7.40209701,163.59,0.0,0.0,268.19,-92,-7,10,9,7,1.0,66,10,12.0846,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1690.01,51.49300893,7.40209701,163.39,0.0,0.0,268.19,-92,-6,13,7,7,5.0,38,10,13.5916,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1690.01,51.49300998,7.40200007,162.84,0.0,0.0,273.89,-93,-8,13,6,7,0.5,82,10,6.932410000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1768.01,51.49226098,7.40175115,166.22,12.34,0.96,180.48,-90,-7,16,10,7,10.0,54,10,24.3902,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
