distance,lat,lon,alt,speed,acc,dir,rsrp,rsrq,sinr,cqi,ta,ci,payload,throughput,rtt,region,hour,weekday
899.78,51.49434454,7.41389995,155.48,12.23,-0.08,257.61,-92,-8,5,6,3,29391104,4.0,13.1363,33,campus,10,Monday
1132.1,51.493930299999995,7.410737700000001,166.88,13.38,0.0,258.36,-82,-7,24,12,3,29391104,0.1,5.03147,33,campus,10,Monday
1424.91,51.4933896,7.40660543,168.04,14.63,0.0,258.04,-83,-7,19,10,3,29391106,2.0,14.4928,38,campus,10,Monday
1571.91,51.49310395,7.40450542,168.17,14.45,0.0,258.18,-91,-7,8,10,3,29391106,0.5,4.33369,55,campus,10,Monday
1703.97,51.49299394,7.40263926,166.64,10.23,0.0,269.0,-96,-13,0,6,3,29391106,0.5,3.6133699999999997,69,campus,10,Monday
1741.61,51.49300662,7.40208124,162.57,0.0,0.0,276.57,-91,-6,25,8,6,26385410,9.0,18.136,52,campus,10,Monday
1782.89,51.49263095,7.401746000000001,163.96,10.05,1.33,174.54,-89,-7,27,10,6,26385410,4.0,26.3374,54,campus,10,Monday
1938.44,51.49121643,7.4017233,168.32,12.7,0.16,181.08,-86,-8,30,11,6,26385410,10.0,19.2123,48,campus,10,Monday
2015.47,51.49053257,7.401714999999999,169.89,12.75,0.12,180.24,-83,-6,17,15,6,26385410,0.1,4.46929,80,campus,10,Monday
2129.56,51.48961465,7.40175153,171.89,0.0,0.0,183.21,-76,-6,32,11,6,26385410,10.0,27.2201,48,campus,10,Monday
2129.56,51.48961465,7.40175153,172.13,0.0,0.0,183.21,-66,-7,40,13,6,26385410,8.0,24.4182,47,campus,10,Monday
2133.35,51.48947148,7.40175544,173.59,2.51,0.0,181.01,-69,-6,16,14,6,26385410,2.0,22.5352,119,campus,10,Monday
2289.41,51.48938894,7.40406587,182.7,12.9,0.0,89.43,-72,-6,15,12,6,26385410,6.0,18.1612,58,campus,10,Monday
2535.92,51.48968193,7.40768119,184.32,12.87,-0.17,79.34,-73,-6,12,9,2,26385408,5.0,18.0668,50,campus,10,Monday
2682.42,51.48994461,7.40972081,178.4,13.3,-0.35,78.78,-80,-6,13,11,2,26385408,10.0,24.8834,51,campus,10,Monday
2787.69,51.49013901,7.41113607,170.06,12.34,-0.12,77.31,-78,-6,18,11,2,26385408,2.0,11.5108,34,campus,10,Monday
162.76,51.49054475,7.41421834,164.88,13.63,0.13,77.87,-90,-7,11,9,2,26385408,9.0,28.2132,78,campus,10,Monday
289.66,51.49067765,7.4160627,162.35,11.64,-2.22,90.34,-87,-6,9,9,2,26385408,5.0,17.4064,38,campus,10,Monday
364.38,51.49056582,7.41694394,160.3,1.73,-2.07,102.76,-84,-7,21,12,4,29391105,1.0,8.30737,60,campus,10,Monday
